('default', [[2, 11], [9, 6], [7, 7], [6, 8], [0, 11], [5, 9], [4, 12], [1, 16], [11, 11], [10, 7], [3, 11], [8, 9], [6, 2], [7, 2], [1, 6], [2, 2], [3, -4], [4, -1], [5, -3], [0, 5]], 36.359999895095825)
[-11.00, 'move', [55, 4, -21], [-21, 7, -55], [1, -59, -8]]
[-10.41, 'move', [55, 4, -21], [-21, 17, -53], [-2, -57, -17]]
[-10.38, 'move', [55, 4, -21], [-21, 27, -49], [-6, -53, -26]]
[-10.36, 'move', [55, 4, -21], [-19, 35, -43], [-9, -47, -34]]
[-10.33, 'move', [55, 4, -21], [-17, 43, -37], [-12, -40, -41]]
[-10.30, 'move', [55, 4, -21], [-15, 50, -29], [-15, -32, -47]]
[-10.28, 'move', [55, 4, -21], [-12, 55, -20], [-18, -23, -52]]
[-10.25, 'move', [55, 4, -21], [-8, 58, -11], [-20, -13, -54]]
[-10.22, 'move', [55, 4, -21], [-5, 59, -1], [-21, -3, -55]]
[-10.20, 'move', [55, 4, -21], [-1, 59, 8], [-21, 7, -55]]
[-10.17, 'move', [55, 4, -21], [2, 57, 17], [-21, 17, -53]]
[-10.16, 'move', [55, 4, -21], [6, 53, 26], [-21, 27, -49]]
[-10.13, 'move', [55, 4, -21], [9, 47, 34], [-19, 35, -43]]
[-10.09, 'move', [55, 4, -21], [12, 40, 41], [-17, 43, -37]]
[-10.08, 'move', [55, 4, -21], [15, 32, 47], [-15, 50, -29]]
[-10.05, 'move', [55, 4, -21], [18, 23, 52], [-12, 55, -20]]
[-9.56, 'move', [58, 8, -12], [8, 22, 55], [-12, 55, -20]]
[-9.55, 'move', [58, 12, -2], [-1, 20, 56], [-12, 55, -20]]
[-9.52, 'move', [57, 15, 7], [-12, 18, 55], [-12, 55, -20]]
[-9.50, 'move', [54, 18, 16], [-21, 15, 53], [-12, 55, -20]]
[-9.47, 'move', [49, 20, 26], [-30, 11, 50], [-12, 55, -20]]
[-9.44, 'move', [43, 22, 34], [-39, 7, 44], [-12, 55, -20]]
[-9.42, 'move', [36, 23, 41], [-46, 3, 38], [-12, 55, -20]]
[-9.39, 'move', [27, 23, 47], [-51, 0, 30], [-12, 55, -20]]
[-8.53, 'move', [18, 23, 52], [-55, -4, 21], [-12, 55, -20]]
[-8.50, 'move', [8, 22, 55], [-58, -8, 12], [-12, 55, -20]]
[-8.47, 'move', [-1, 20, 56], [-58, -12, 2], [-12, 55, -20]]
[-8.45, 'move', [-12, 18, 55], [-57, -15, -7], [-12, 55, -20]]
[-8.42, 'move', [-21, 15, 53], [-54, -18, -16], [-12, 55, -20]]
[-8.39, 'move', [-30, 11, 50], [-49, -20, -26], [-12, 55, -20]]
[-8.38, 'move', [-39, 7, 44], [-43, -22, -34], [-12, 55, -20]]
[-8.34, 'move', [-46, 3, 38], [-36, -23, -41], [-12, 55, -20]]
[-8.33, 'move', [-51, 0, 30], [-27, -23, -47], [-12, 55, -20]]
[-8.13, 'move', [-55, -4, 21], [-18, -23, -52], [-12, 55, -20]]
[-8.11, 'move', [-58, -8, 12], [-8, -22, -55], [-12, 55, -20]]
[-8.08, 'move', [-58, -12, 2], [1, -20, -56], [-12, 55, -20]]
[-8.06, 'move', [-57, -15, -7], [12, -18, -55], [-12, 55, -20]]
[-8.03, 'move', [-54, -18, -16], [21, -15, -53], [-12, 55, -20]]
[-8.00, 'move', [-49, -20, -26], [30, -11, -50], [-12, 55, -20]]
[-7.98, 'move', [-43, -22, -34], [39, -7, -44], [-12, 55, -20]]
[-7.63, 'move', [-49, -20, -26], [30, -11, -50], [-12, 55, -20]]
[-7.59, 'move', [-54, -18, -16], [21, -15, -53], [-12, 55, -20]]
[-7.58, 'move', [-57, -15, -7], [12, -18, -55], [-12, 55, -20]]
[-7.55, 'move', [-58, -12, 2], [1, -20, -56], [-12, 55, -20]]
[-7.05, 'move', [-58, -8, 12], [-8, -22, -55], [-12, 55, -20]]
[-7.02, 'move', [-55, -4, 21], [-18, -23, -52], [-12, 55, -20]]
[-7.00, 'move', [-51, 0, 30], [-27, -23, -47], [-12, 55, -20]]
[-6.97, 'move', [-46, 3, 38], [-36, -23, -41], [-12, 55, -20]]
