('default', [[2, 6], [10, 8], [7, 6], [9, 6], [11, 11], [4, 3], [5, 9], [1, 9], [0, 9], [6, 12], [3, 8], [8, 9], [7, -1], [5, -5], [6, 5], [4, -1], [2, -4], [0, 5], [1, 0], [3, 1]], 49.842999935150146)
[-11.00, 'move', [45, 0, -38], [19, -51, 22], [33, 30, 39]]
[-10.08, 'move', [51, 5, -31], [19, -51, 22], [24, 29, 45]]
[-10.05, 'move', [54, 10, -22], [19, -51, 22], [15, 28, 50]]
[-10.02, 'move', [56, 15, -13], [19, -51, 22], [5, 25, 53]]
[-9.98, 'move', [56, 19, -3], [19, -51, 22], [-3, 22, 55]]
[-9.97, 'move', [55, 22, 5], [19, -51, 22], [-13, 19, 55]]
[-9.94, 'move', [51, 25, 15], [19, -51, 22], [-23, 15, 53]]
[-9.92, 'move', [47, 28, 24], [19, -51, 22], [-31, 10, 49]]
[-9.89, 'move', [40, 29, 32], [19, -51, 22], [-39, 5, 44]]
[-9.86, 'move', [33, 29, 39], [19, -51, 22], [-45, 0, 38]]
[-9.84, 'move', [24, 29, 45], [19, -51, 22], [-51, -5, 31]]
[-9.81, 'move', [15, 28, 50], [19, -51, 22], [-54, -10, 22]]
[-9.78, 'move', [5, 25, 53], [19, -51, 22], [-56, -14, 13]]
[-9.77, 'move', [-3, 22, 55], [19, -51, 22], [-56, -19, 3]]
[-9.73, 'move', [-13, 19, 55], [19, -51, 22], [-55, -22, -5]]
[-9.72, 'move', [-23, 14, 53], [19, -51, 22], [-51, -25, -15]]
[-9.69, 'move', [-31, 10, 49], [19, -51, 22], [-47, -28, -24]]
[-9.66, 'move', [-39, 5, 44], [19, -51, 22], [-40, -29, -32]]
[-9.64, 'move', [-45, 0, 38], [19, -51, 22], [-33, -29, -39]]
[-9.61, 'move', [-51, -5, 31], [19, -51, 22], [-24, -29, -45]]
[-9.58, 'move', [-54, -10, 22], [19, -51, 22], [-15, -28, -50]]
[-9.56, 'move', [-56, -14, 13], [19, -51, 22], [-5, -25, -53]]
[-9.53, 'move', [-56, -19, 3], [19, -51, 22], [3, -22, -55]]
[-9.50, 'move', [-55, -22, -5], [19, -51, 22], [13, -19, -55]]
[-9.48, 'move', [-51, -25, -15], [19, -51, 22], [23, -15, -53]]
[-9.45, 'move', [-47, -28, -24], [19, -51, 22], [31, -10, -49]]
[-9.44, 'move', [-40, -29, -32], [19, -51, 22], [39, -5, -44]]
[-9.41, 'move', [-33, -29, -39], [19, -51, 22], [45, 0, -38]]
[-9.38, 'move', [-24, -29, -45], [19, -51, 22], [51, 5, -31]]
[-9.36, 'move', [-15, -28, -50], [19, -51, 22], [54, 10, -22]]
[-9.33, 'move', [-5, -25, -53], [19, -51, 22], [56, 14, -13]]
[-9.30, 'move', [3, -22, -55], [19, -51, 22], [56, 19, -3]]
[-9.28, 'move', [13, -19, -55], [19, -51, 22], [55, 22, 5]]
[-9.25, 'move', [23, -15, -53], [19, -51, 22], [51, 25, 15]]
[-9.22, 'move', [31, -10, -49], [19, -51, 22], [47, 28, 24]]
[-9.20, 'move', [27, -1, -53], [24, -52, 13], [47, 28, 24]]
[-9.19, 'move', [23, 8, -54], [28, -52, 4], [47, 28, 24]]
[-9.17, 'move', [17, 17, -54], [32, -50, -5], [47, 28, 24]]
[-9.14, 'move', [11, 25, -52], [35, -46, -14], [47, 28, 24]]
[-9.13, 'move', [5, 33, -49], [36, -41, -23], [47, 28, 24]]
[-9.09, 'move', [0, 39, -44], [37, -34, -31], [47, 28, 24]]
[-9.06, 'move', [-7, 45, -38], [36, -27, -38], [47, 28, 24]]
[-9.05, 'move', [-7, 45, -38], [44, -22, -34], [40, 32, 30]]
[-9.02, 'move', [-7, 45, -38], [50, -16, -28], [31, 35, 36]]
[-8.98, 'move', [-7, 45, -38], [55, -9, -21], [22, 38, 40]]
[-8.97, 'move', [-7, 45, -38], [58, -2, -14], [12, 39, 43]]
[-8.94, 'move', [-7, 45, -38], [59, 3, -6], [2, 39, 45]]
[-8.91, 'move', [-7, 45, -38], [59, 10, 1], [-8, 37, 45]]
[-8.89, 'move', [-7, 45, -38], [56, 17, 9], [-18, 35, 44]]
[-8.86, 'move', [-7, 45, -38], [52, 23, 17], [-27, 31, 42]]
[-8.84, 'move', [-7, 45, -38], [47, 28, 24], [-36, 27, 38]]
[-8.81, 'move', [-7, 45, -38], [40, 32, 30], [-44, 22, 34]]
[-8.78, 'move', [-7, 45, -38], [31, 35, 36], [-50, 16, 28]]
[-8.77, 'move', [-7, 45, -38], [22, 38, 40], [-55, 9, 21]]
[-8.73, 'move', [-7, 45, -38], [12, 39, 43], [-58, 2, 14]]
[-8.70, 'move', [-7, 45, -38], [2, 39, 45], [-59, -3, 6]]
[-8.69, 'move', [-7, 45, -38], [-8, 37, 45], [-59, -10, -1]]
[-8.66, 'move', [-7, 45, -38], [-18, 35, 44], [-56, -17, -9]]
[-8.63, 'move', [-7, 45, -38], [-27, 31, 42], [-52, -23, -17]]
[-8.61, 'move', [-7, 45, -38], [-36, 27, 38], [-47, -28, -24]]
[-8.58, 'move', [-7, 45, -38], [-44, 22, 34], [-40, -32, -30]]
[-8.56, 'move', [-7, 45, -38], [-50, 16, 28], [-31, -35, -36]]
[-8.53, 'move', [-1, 50, -31], [-50, 16, 28], [-32, -27, -42]]
[-8.50, 'move', [4, 54, -23], [-50, 16, 28], [-32, -18, -47]]
[-8.48, 'move', [9, 57, -15], [-50, 16, 28], [-31, -8, -50]]
[-8.45, 'move', [14, 57, -6], [-50, 16, 28], [-29, 1, -52]]
[-8.42, 'move', [19, 56, 2], [-50, 16, 28], [-25, 11, -52]]
[-8.41, 'move', [23, 53, 11], [-50, 16, 28], [-22, 21, -51]]
[-8.38, 'move', [27, 49, 20], [-50, 16, 28], [-17, 30, -48]]
[-8.34, 'move', [27, 49, 20], [-52, 21, 19], [-8, 27, -52]]
[-8.33, 'move', [27, 49, 20], [-53, 25, 10], [0, 22, -55]]
[-8.30, 'move', [27, 49, 20], [-52, 29, 0], [9, 18, -56]]
[-8.28, 'move', [27, 49, 20], [-49, 31, -9], [18, 12, -55]]
[-8.25, 'move', [27, 49, 20], [-45, 33, -19], [27, 7, -52]]
[-8.22, 'move', [27, 49, 20], [-40, 34, -27], [34, 1, -48]]
[-8.20, 'move', [27, 49, 20], [-33, 34, -36], [41, -4, -43]]
[-8.17, 'move', [27, 49, 20], [-26, 32, -42], [46, -10, -36]]
[-8.14, 'move', [27, 49, 20], [-17, 30, -48], [50, -16, -28]]
[-8.13, 'move', [27, 49, 20], [-8, 27, -52], [52, -21, -19]]
[-8.09, 'move', [27, 49, 20], [0, 22, -55], [53, -25, -10]]
[-8.08, 'move', [27, 49, 20], [9, 18, -56], [52, -29, 0]]
[-8.05, 'move', [27, 49, 20], [18, 12, -55], [49, -31, 9]]
[-8.02, 'move', [27, 49, 20], [9, 18, -56], [52, -29, 0]]
[-8.00, 'move', [27, 49, 20], [0, 22, -55], [53, -25, -10]]
[-7.97, 'move', [27, 49, 20], [-8, 27, -52], [52, -21, -19]]
[-7.94, 'move', [27, 49, 20], [-17, 30, -48], [50, -16, -28]]
[-7.92, 'move', [27, 49, 20], [-26, 32, -42], [46, -10, -36]]
[-7.89, 'move', [27, 49, 20], [-33, 34, -36], [41, -4, -43]]
[-7.86, 'move', [27, 49, 20], [-40, 34, -27], [34, 1, -48]]
[-7.84, 'move', [27, 49, 20], [-45, 33, -19], [27, 7, -52]]
[-7.81, 'move', [27, 49, 20], [-49, 31, -9], [18, 12, -55]]
[-7.78, 'move', [27, 49, 20], [-52, 29, 0], [9, 18, -56]]
[-7.77, 'move', [27, 49, 20], [-53, 25, 10], [0, 22, -55]]
[-7.73, 'move', [27, 49, 20], [-52, 21, 19], [-8, 27, -52]]
[-7.72, 'move', [27, 49, 20], [-50, 16, 28], [-17, 30, -48]]
[-7.69, 'move', [27, 49, 20], [-46, 10, 36], [-26, 32, -42]]
[-7.66, 'move', [27, 49, 20], [-41, 4, 43], [-33, 34, -36]]
[-7.64, 'move', [27, 49, 20], [-34, -1, 48], [-40, 34, -27]]
[-7.61, 'move', [33, 48, 11], [-29, 7, 51], [-40, 34, -27]]
[-7.58, 'move', [37, 46, 2], [-23, 15, 53], [-40, 34, -27]]
[-7.56, 'move', [41, 43, -6], [-16, 23, 52], [-40, 34, -27]]
[-7.53, 'move', [43, 38, -15], [-9, 30, 50], [-40, 34, -27]]
[-7.50, 'move', [44, 32, -24], [-1, 36, 47], [-40, 34, -27]]
[-7.48, 'move', [43, 25, -31], [6, 42, 42], [-40, 34, -27]]
[-7.45, 'move', [42, 17, -38], [13, 45, 36], [-40, 34, -27]]
[-7.42, 'move', [38, 9, -44], [20, 48, 28], [-40, 34, -27]]
[-7.36, 'move', [31, 15, -48], [20, 48, 28], [-46, 32, -19]]
[-7.34, 'move', [22, 20, -51], [20, 48, 28], [-51, 28, -11]]
[-7.31, 'move', [13, 25, -52], [20, 48, 28], [-54, 24, -1]]
[-7.28, 'move', [3, 29, -52], [20, 48, 28], [-56, 20, 7]]
[-7.27, 'move', [-5, 32, -50], [20, 48, 28], [-55, 14, 16]]
[-7.23, 'move', [-15, 34, -46], [20, 48, 28], [-54, 8, 24]]
